ลำดับ,รูปแบบสื่อ,หมวดหมู่,ชิ้นงาน,thumnail,ลิงก์
13,วีดีโอสั้น,การจัดการไฟป่า,จุดยุทธศาสตร์ ปลาตัวใหญ่ อุทยานแห่งชาติแม่ปิง,https://scontent-fra5-1.xx.fbcdn.net/v/t15.5256-10/429811503_1140126767338804_5853673950889376248_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=596eb7&_nc_ohc=9WRgDwm9XF8Q7kNvwEUICKC&_nc_oc=Adm0gnKaBg-yuLkH_oOOftPITtoJeWf4gx5VANiMGfbblnJh6bUH0nHlSVEK7o_NzAI&_nc_zt=23&_nc_ht=scontent-fra5-1.xx&_nc_gid=ZKAXrIbDEVhgpH_TUdfj5g&oh=00_AfsaLlS5wbQKa9DMiG2sK4wlNqpnU5p3rTj2pYt4CWm-YQ&oe=69986CD5,https://www.facebook.com/thaithenorth/videos/1050574722712154/
11,วีดีโอสั้น,การจัดการไฟป่า,No man'sland ป่าแปลงใหญ่ มีไฟแต่ไม่มีคน,https://scontent-fra5-1.xx.fbcdn.net/v/t15.5256-10/429894513_729112839334702_30336062386823882_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=596eb7&_nc_ohc=81mYqyFoPs4Q7kNvwG1ykg8&_nc_oc=AdmdjJpa_lBbCXAz8y3LRzi8yMHdfuqxSejak-wKNWjqBGAbSE19v1xgtTSj_3X1wbY&_nc_zt=23&_nc_ht=scontent-fra5-1.xx&_nc_gid=Debdgeje8T8p4CNPIR8y1g&oh=00_AfvBFIUKaCo2SBqzlyy4ABtmf-uUQO49Zvd-tb8RXtgsBg&oe=6998770D,https://www.facebook.com/thaithenorth/videos/8444309302251398
14,วีดีโอสั้น,ความรู้และปรากฏการณ์ธรรมชาติ,ลมและฝุ่น ปรากฏการณ์ธรรมชาติเข้าใจเพื่อรับมือ!,https://scontent-fra5-2.xx.fbcdn.net/v/t15.5256-10/426316848_374394928672079_6071182658940035805_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=596eb7&_nc_ohc=4uA3r8ss3voQ7kNvwGE8tR1&_nc_oc=AdkFuper18hfnIh1MtlcxnpFmFez8pGZkb2YPXEIExsmdD1dRFDXUjaWGDzk8gcKvXQ&_nc_zt=23&_nc_ht=scontent-fra5-2.xx&_nc_gid=mNG97l9H_7ixViIsYDrP5w&oh=00_AfuBLNItBBfeGU_qewv_rJ5DHbS4M19EObdAfId7qY-ILw&oe=69986E6B,https://www.facebook.com/thaithenorth/videos/1596442104503028
22,วีดีโอสั้น,การจัดการไฟป่า,เราจะชนะศึกดับไฟป่า อย่างไร ?,https://scontent-fra5-2.xx.fbcdn.net/v/t15.5256-10/441520457_991278209233461_8131857111151436326_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=f4080e&_nc_ohc=rUjLG0rc73UQ7kNvwFqvkbX&_nc_oc=AdmhYZ-59tSp5DPtwYRwhOI2vUCsW503ZLF2Ttq0aMLvqhPpSPuz4cJF_FyQtU2YJAE&_nc_zt=23&_nc_ht=scontent-fra5-2.xx&_nc_gid=L8enbzEsaIaVVMZ9ek4WIw&oh=00_AfvTWd9blfSF5z49Qy8RmvhHgI-xZojhkgdAQWgQtEmwyQ&oe=6998A5C5,https://www.facebook.com/thaithenorth/videos/2995030940633835
91,สำรวจความเห็น,การมีส่วนร่วมและเสียงประชาชน,"ฝุ่น คือวาระแห่งชาติ แต่รายังอยู่กับวังวนเรื่องนี้ ที่เดิมพันด้วยลมหายใจ
ขอ 1 คำ ""ไอเดียแก้ฝุ่น""",https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/474920206_932786212297174_2481607916611201690_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=R_ijYQS23NkQ7kNvwG1NgOB&_nc_oc=Adm0g623TNT6ktFi--Pw5rJ_wu7dpx4dnqG-TLBsxxJT17I5DakKUKMN_NMYaab46-Y&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=L4Jy1Idjrybc5HNSigztOQ&oh=00_AftbpWxlrQ9WQTXT3vEzaOTfgUAsw5Je-tQZxX7wK8cdSA&oe=6998AAD6,https://www.facebook.com/photo.php?fbid=558387323070400&set=pb.100066974124830.-2207520000&type=3
89,สำรวจความเห็น,การติดตามและเทคโนโลยี,เข้าสู่ฤดูฝุ่นภาคเหนือ องศาเหนือรวม 6 ช่องทางเช็คค่าคุณภาพอากาศก่อนออกบ้าน,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475509900_939100054999123_2332358551273460774_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=wggoYA029NoQ7kNvwFiJXOd&_nc_oc=Adk5OHObXr-76FrT8WndUkAmX3QTe-2t7dOCG1hyfy6dM7iZI_EynJSveqEtr8FaHmU&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=toutYojN0r4aU-noiW_-jA&oh=00_AfsvZSv6dQ2QUH6DPP3DZl-V_3Ix-K35e-STKUut_yLKzQ&oe=69989B1F,https://www.facebook.com/photo.php?fbid=716693510573113&set=pb.100066974124830.-2207520000&type=3
90,สำรวจความเห็น,การติดตามและเทคโนโลยี,อัพเดต ค่าฝุ่นรายชั่วโมง,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475679777_938711185038010_3949189668632253411_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=avsmAFnPbOwQ7kNvwFaIY_L&_nc_oc=AdkunvDPkkXQHlDuJFhlloa90CNRYJpIzXLY8iO4LL3OX8j93Xz9vOmulgUAAwJi4sQ&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=XazwlzmJ-e0VlV_xa_0vNg&oh=00_AfutLACpFETcPpSVKL2pzwOd6xhJbK40cspn17Z8WxbIDQ&oe=69989C4E,https://www.facebook.com/photo.php?fbid=675321218043676&set=pb.100066974124830.-2207520000&type=3
87,สำรวจความเห็น,การติดตามและเทคโนโลยี,รวมพิกัดห้องปลอดฝุ่น,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475760586_939336648308797_1483977820660404957_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=tB37khaFKs8Q7kNvwFeNbfI&_nc_oc=AdmmBM9ZOlq_XMxmkX6ft00pCU9w_UyR5WbAUVJl7olBn-at7xeyzB3gvyUVU4UqwUg&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=X_8BewH02RLaPwQJdri5JQ&oh=00_Afs_TenyMtvJkomFMP8kQ1elGUl6VtyRkswjA_9n--qDMA&oe=6998A8B4,https://www.facebook.com/photo.php?fbid=733170962258701&set=pb.100066974124830.-2207520000&type=3
86,สำรวจความเห็น,การจัดการไฟป่า,ฟังเสียง : ชวนตอบคำถาม คุณจะช่วยดับไฟอย่างไร ?,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475763437_939541248288337_5979024303800749388_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ZOe_9ZFo6zYQ7kNvwEhIB_1&_nc_oc=AdnGnuG4mbAviy9G5RdgCmbXRSTk_tV-BIeIaD7Gu6L9pYhU06096H4Nw9FQ9hppo60&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=RlS9RDoESkqdBJ24fol1RQ&oh=00_AfuUB292AGG_cqdssXWOl0r7JbtERpYgLxiuW1kzd-qDKw&oe=6998A06B,https://www.facebook.com/photo.php?fbid=746827567559707&set=pb.100066974124830.-2207520000&type=3
88,สำรวจความเห็น,สุขภาพและความปลอดภัย,"อากาศดี ๆ ที่ขอฟรีไม่ได้ ลมหายใจที่ต้องจ่ายเราแต่ละคนจ่ายไม่เท่ากัน … 
แล้วคุณละ จ่ายกันเท่าไหร่ ?",https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475808088_939333038309158_2261313469674396859_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=fklPDGHPKLIQ7kNvwFpykQE&_nc_oc=AdkpXeAU2rkRhNLn-E5FB6B4sfR_slcHs4AAUdkAg8Mh5NKPP2x8Znuc01qUM_utD_M&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=IgHHKVimVftQgVqot-93ww&oh=00_AfsUphvrtdsjNYXXB6XApiNBnlW5M-7rdZLY12TlPXxrDA&oe=69989B00,https://www.facebook.com/photo.php?fbid=731068615802269&set=pb.100066974124830.-2207520000&type=3
85,สำรวจความเห็น,การติดตามและเทคโนโลยี,ชวนถ่ายภาพและร่วมปักหมุดสื่อสารผ่านแอพพลิเคชัน C-site อัปเดทสถานการณ์ฝุ่น,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/475809924_939345924974536_3131021072128291720_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=doK1lCeRrH4Q7kNvwG9sUOn&_nc_oc=AdmkkXzjLV2rZodzjntgu5ec14UkGVTdhcgRsLaBkxlmtwoSyTBHlyBxgUwglgtqmH8&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=aX_r5Qjtk6l8tEMFwuYUCQ&oh=00_AftI4e6RVuKeaxl0J0UvKeu0exSq8n68u6sa498vnR_hqg&oe=6998AF65,https://www.facebook.com/photo.php?fbid=739441921631605&set=pb.100066974124830.-2207520000&type=3
83,สำรวจความเห็น,การติดตามและเทคโนโลยี,เทียบสถิติจุดความร้อนเชียงใหม่ 2566 VS 2567 มาตรการใหม่ #เชียงใหม่ สกอร์ไหนแล้ว,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/476119536_939330191642776_7776444208270813429_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=A_ZIhVEDeOoQ7kNvwF_Nhz-&_nc_oc=AdnVaddUHI9z2Sj4YNKvl2OdyLU542ePAXSQRshcFpJ_29tu0ohR-SLhiU0RS3rD7Ls&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=JM83QS5sVYqJ3D2zrn4ivA&oh=00_AfuXb76J7XLX7X0TrYif4xwkm7Kp0y--rkvQNn-rU41OBA&oe=6998AC45,https://www.facebook.com/photo/?fbid=728983842677413&set=pb.100066974124830.-2207520000
93,สำรวจความเห็น,การติดตามและเทคโนโลยี,ย้อนสำรวจฝุ่นควันภาคเหนือที่เพิ่งผ่านไป ยังมีอะไรที่ควรใส่ใจกว่าการติดอันดับโลก,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/480867565_557214534028391_8197103894373989069_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vCju_7OVWT0Q7kNvwERsDI-&_nc_oc=AdnuvLMjQTXApuGAeCvFBOHvHUkOAVaAq05yUzIbh56100gF0b2vS0Y6ojsfgkYsThw&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=brISC7vxf7mgcfok6SUtMg&oh=00_AfuRSwX_dGCX6ELyh9ypPbQVN8xZGebdPDUXepGbo2zdNg&oe=6998C6BF,https://www.facebook.com/permalink.php?story_fbid=pfbid027LFJwAqo5QqW7Tj2szHtxAbvK834j7ZERTLyc2Lnam1Uo4WZyKoN3qETdb6EtejTl&id=100092195477858
92,สำรวจความเห็น,การติดตามและเทคโนโลยี,เช็คค่าคุณภาพอากาศฝุ่น PM 2.5 ผ่านอีกหนึ่งช่องทาง คือ Line Official Account Air Quality by CMU ซึ่งรวบรวมและรายงานค่าฝุ่นแบบรายชั่วโมง จากจากเครื่องวัดฝุ่น Low cost sensor ให้สามารถตรวจเช็คได้ก่อนที่คุณจะทำกิจกรรมกลางแจ้ง และมาพร้อมกับคำแนะนำในการปฏิบัติตัว,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/484049728_3951905205137163_1547442831821590353_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=tzkL5SugQ8sQ7kNvwE09LQ6&_nc_oc=AdloGE6wdrQySU9PrZcSJZpDMh6OVnLSxdqZE4Qhm5r5u4csFQtrVanUPly_9Yk6Mo4&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=JFzVMqy8l4HfiGs8pTSOcw&oh=00_AfucjgM0hIi6SugTRpFI9InDvfBT2dk4rkib_hwlOJadog&oe=69989F95,https://www.facebook.com/thaithenorth/photos/pb.100066974124830.-2207520000/3394105710917118/?type=3
65,รายการทีวี,การมีส่วนร่วมและเสียงประชาชน,คุณเล่า เราขยาย : ฝุ่นควัน วาระเเห่งชาติ แต่การจัดการ = วาระประชาชน,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL051L0gyLzFOdUgyTW1mdENmUy1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/85449
68,รายการทีวี,การมีส่วนร่วมและเสียงประชาชน,คุณเล่า เราขยาย : ฝุ่นจิ๋ว PM 2.5 มหากาพย์วาระประชาชน,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1BDL0RGLzFQQ0RGaTJidzR3ci1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/93716
66,รายการทีวี,กฎหมายและสิทธิอากาศสะอาด,คุณเล่า เราขยาย : ทางออกฝุ่นควันเพื่ออากาศสะอาด,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1BpL204LzFQaW04V3JQWnZZYi1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/92670
69,รายการทีวี,ฝุ่นข้ามแดน,คุณเล่า เราขยาย : ถามหานโยบาย ฝ่าวิกฤตควันข้ามแดน,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1BQL2tRLzFQUGtRM3BWMzlaYy1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/94427
67,รายการทีวี,การจัดการไฟป่า,คุณเล่า เราขยาย : ไฟจำเป็นกับการจัดการที่เป็นโจทย์ท้าทาย,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1BzL3Z2LzFQc3Z2WVd1TlBUOS1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/93166
70,รายการทีวี,การมีส่วนร่วมและเสียงประชาชน,คุณเล่า เราขยาย : ลมหายใจเดียวกัน บ้านฉันบ้านเธอ,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1JELzdRLzFSRDdRWGxRaTVBbi1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/100196
71,รายการทีวี,ฝุ่นข้ามแดน,คุณเล่า เราขยาย : ฝุ่นไร้พรมแดน,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1JOL2daLzFSTmdaUWtQSkZyZi1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/100675
72,รายการทีวี,ฝุ่นข้ามแดน,คุณเล่า เราขยาย : ลมหายใจข้ามแดน,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUtZGlzcGxheS1pbWFnZS8xL1JYL0VRLzFSWEVRcm9PMlZLNi1vcmlnaW5hbC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/101170
64,รายการทีวี,การมีส่วนร่วมและเสียงประชาชน,คุณเล่า เราขยาย : บ้านก้อ SANDBOX,https://thaipbs-media-fuzzylop.thaipbs.or.th/imgpx1/unsafe/resizing_type:fit/size:1920:1080/format:webp/quality:100/aHR0cHM6Ly90aGFpcGJzLXByb2dyYW0tcHJvZHVjdGlvbi5zMy5hbWF6b25hd3MuY29tL2VwaXNvZGUvMS9NWS81di8xTVk1dmI1TkhNNGgtZGVmYXVsdC5qcGc=,https://www.thaipbs.or.th/program/KhunLao/episodes/83364
26,บทความ,ความรู้และปรากฏการณ์ธรรมชาติ,ลมใต้ที่ส่งผลต่อฝุ่นในภาคเหนือ,https://thecitizen.plus/wp-content/uploads/2023/12/BMCC.00_21_28_00.Still002-1024x576.jpg,https://www.thaipbs.or.th/thecitizen/node/92722.html
25,บทความ,การจัดการไฟป่า,ทำไมต้อง 7 ไฟแปลงใหญ่? แนวทางการลดปัญหาฝุ่นควัน pm 2.5 ในเชียงใหม่ ในปี 2567,https://thecitizen.plus/wp-content/uploads/2023/12/IMG_0253.jpg,https://www.thaipbs.or.th/thecitizen/node/92809.html
48,บทความ,ความรู้และปรากฏการณ์ธรรมชาติ,ชีวิตปรกติที่เป็นสารพัดนัก ในวันที่ค่าฝุ่นเกินมาตรฐาน,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2023/03/%E0%B8%9D%E0%B8%B8%E0%B9%88%E0%B8%99-1.jpg,https://www.thaipbs.or.th/thecitizen/node/76392.html
84,สำรวจความเห็น,สุขภาพและความปลอดภัย,ลมหายใจที่ต้องจ่าย,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2023/11/%E0%B8%A5%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%88%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2.jpg,https://www.thaipbs.or.th/thecitizen/index.html%3Fp=91507.html
28,บทความ,การจัดการไฟป่า,No man’s land ป่าแปลงใหญ่ มีไฟแต่ไม่มีคน ?,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2024/01/No-mans-land.jpg,https://www.thaipbs.or.th/thecitizen/index.html%3Fp=93663.html
49,บทความ,กฎหมายและสิทธิอากาศสะอาด,จับตากรรมาธิการหลอม 7 ร่างกฎหมายอากาศสะอาด ก้าวสำคัญสร้างมาตรฐานใหม่แก้ PM 2.5,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2024/02/Untitled-1-6-1.jpg,https://www.thaipbs.or.th/thecitizen/index.html%3Fp=94677.html
